Measurement,XS,S,M,L,XL
Shoulder width,50.0,50.0,50.0,50.0,50.0
Chest circumference,0.0,0.0,0.0,0.0,0.0
Waist circumference,108.0,108.0,108.0,108.0,108.0
Hip circumference,8.0,8.0,8.0,8.0,8.0
